accession,name,description,Study Disease/Focus,Study Design,Study Markerset,Parent study,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms
"phs001382.v1.p1","Reproductive Health in Men and Women with Vasculitis","The purpose of this study is to learn about reproductive health, including fertility and pregnancies, in people with vasculitis. All patients enrolled in the Vasculitis Clinical Research Consortium's Contact  Registry will be invited via email to participate in this study. The Contact Registry includes people who self-identify as having one of 11","Vasculitis","Clinical Trial","Not Provided","Not Applicable","Not Provided","3 phenotype datasets, 2071 variables, 1 documents, 467 subjects","","NCATS","GRU-IRB-PUB --- General research use (irb, pub)","2017-10-12","2017-10-12","Arterial Inflammation; Arteritides; Arteritis; Inflammation of artery; Inflammation, Arterial; Adamantiades Behcet Disease"
"phs001394.v1.p1","Hypertension-Insulin Resistance Family Study (HTN-IR)","The HTN-IR Study, funded by NHLBI, was designed to explore genetic contributions to hypertension and glucose homeostasis traits among Hispanics using a family-based design. The baseline examination of the  cohort included the euglycemic hyperinsulinemic clamp test from which the two key phenotypes were obtained: insulin sensitivity (M) and metabolic","Hypertension","Family/Twin/Trios","HumanOmni1S-8v1_H","Not Applicable","SNP Genotypes (Array)","5 phenotype datasets, 22 variables, 1 molecular datasets, 765 subjects, 765 samples","European (14), Hispanic2 (695), Other Asian or Pacific Islander (1), Other (55)","NHLBI","DS-CMED-IRB-NPU-MDS-GSO --- Disease-specific (cardiovascular, metabolic, and endocrine diseases, irb, npu, mds, gso)","2018-01-03","2018-01-03","Arterial hypertension; BP - High blood pressure; BP+ - Hypertension; Blood Pressure, High; Blood Pressures, High; Elevated blood pressure"
"phs001397.v1.p1","Mexican-American Coronary Artery Disease Study (MACAD)","The MACAD Study, funded by NHLBI, was designed to explore genetic contributions to coronary artery disease and glucose homeostasis traits among Hispanics using a family-based design. The baseline examination  of the cohort included the euglycemic hyperinsulinemic clamp test from which the two key phenotypes were obtained: insulin sensitivity (M) and","Coronary Artery Disease","Family/Twin/Trios","HumanOmni1S-8v1_H","Not Applicable","SNP Genotypes (Array)","5 phenotype datasets, 22 variables, 1 molecular datasets, 821 subjects, 821 samples","European (6), African American (2), Hispanic1 (2), Hispanic2 (780), Other (31)","NHLBI","DS-CMED-IRB-NPU-MDS-GSO --- Disease-specific (cardiovascular, metabolic, and endocrine diseases, irb, npu, mds, gso)","2018-01-03","2018-01-03","Arterioscleroses, Coronary; Arteriosclerosis, Coronary; Arteriosclerotic heart disease; Atheroscleroses, Coronary; Atherosclerosis of coronary artery; Atherosclerosis of native coronary artery"
"phs001402.v1.p1","NHLBI TOPMed: Whole Genome Sequencing of Venous Thromboembolism (WGS of    VTE)","This study consists of 338 VTE cases from an inception cohort of Olmsted County, MN residents (OC) with a first lifetime objectively-diagnosed idiopathic VTE during the 40-year study period,  1966-2005. All living study subjects were invited to provide a whole blood sample at the Mayo Clinical Research Unit for leukocyte genomic DNA and","Venous Thromboembolism","Case Set","WGS_markerset_grc38","Not Applicable","SNP/CNV Genotypes (NGS), WGS","4 phenotype datasets, 59 variables, 2 documents, 1 molecular datasets,  SRA, 1534 subjects, 1534 samples","European (1226), African American (3), Hispanic1 (3), Hispanic2 (13), Other Asian or Pacific Islander (2), South Asian (1), Other (2)","NHLBI","GRU --- General research use","2018-09-10","2018-09-10","Blood clot in vein; Factor V R2 Mutation Thrombophilia; Phlebothromboses; Phlebothrombosis; Prothrombin-Related Thrombophilia; Prothrombin-Related Thrombophilia (Factor II)"
"phs001412.v1.p1","NHLBI TOPMed: Diabetes Heart Study (DHS) African American Coronary Artery    Calcification (AA CAC)","The Diabetes Heart Study (DHS) is a family-based study enriched for type 2 diabetes (T2D). The cohort included 1443 European American and African American participants from 564 families with  multiple cases of type 2 diabetes (Bowden et al., 2010. Review of Diabetic Studies 7:188-201. PMID: 21409311). The cohort was recruited between 1998","Cardiovascular Disease","Cross-Sectional","WGS_markerset_grc38","Not Applicable","SNP/CNV Genotypes (NGS), WGS","5 phenotype datasets, 54 variables, 2 documents, 1 molecular datasets,  SRA, 405 subjects, 403 samples","African (11), African American (326)","NHLBI","HMB-IRB-COL-NPU --- Health/medical/biomedical (irb, col, npu) , DS-DHD-IRB-COL-NPU --- Disease-specific (diabetes and heart disease, irb, col, npu)","2019-02-14","2019-02-14","Calcification, Vascular; Calcifications, Vascular; Calcinoses, Vascular; Calcinosis, Vascular; Vascular Calcification; Vascular Calcifications"
"phs001492.v1.p1","GWAS on Calcific Aortic Valve Stenosis in Quebec (QUEBEC-CAVS)","Calcific aortic valve stenosis (CAVS) is a common and life-threatening heart disease with no drug that can stop or delay its progression. A genome-wide association study (GWAS) on 1,009  cases and 1,017 ethnically-matched controls was performed to identify susceptibility genes for CAVS.","Aortic Valve Stenosis","Case-Control","Not Provided","Not Applicable","Not Provided","1 analyses","","NHLBI","GRU --- General research use","2018-03-13","2018-03-13","AORTIC VALVE STENOSIS; Aortic Stenosis; Aortic Valve Stenoses; Narrowing of aortic valve; Stenosed aortic valve; Stenoses, Aortic"
"phs001539.v1.p1","MAGNet Study","The MAGNet repository includes samples from normal donors at the time of cardiac transplantation. The study protocol was approved by the Institutional Review Board at the University of Pennsylvania,  and all patients provided written informed consent to participate.","Atrial Fibrillation","Case Set","Not Provided","Not Applicable","RNA-Seq","4 phenotype datasets, 14 variables,  SRA, 101 subjects, 101 samples","","NHLBI","HMB-MDS --- Health/medical/biomedical (mds)","2018-09-04","2018-09-04","AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations; Fibrillation, Atrial"
"phs001563.v1.p1","Blood Handling and Leukocyte Isolation Methods Impact the Global    Transcriptome of Immune Cells","In order to characterize the effects of upstream sample handling on the transcriptome of isolated leukocyte populations, we simulated various sample handling methods on whole blood prior to leukocyte  isolation for low-input RNA-sequencing.","Cerebral Hemorrhage","Control Set","Not Provided","Not Applicable","RNA-Seq","3 phenotype datasets, 12 variables, 9 subjects, 87 samples","","NINDS","HMB --- NULL","2018-10-22","2018-10-22","Brain Hemorrhage, Cerebral; Brain Hemorrhages, Cerebral; Cerebral Brain Hemorrhage; Cerebral Brain Hemorrhages; Cerebral Hemorrhages; Cerebral Parenchymal Hemorrhage"
"phs001595.v1.p1","Norepinephrine Transporter Blockade in Neurogenic Orthostatic Hypotension","The clinical picture of autonomic failure is dominated by disabling orthostatic hypotension. Recent developments in the understanding of the underlying pathophysiology of the discrete clinical forms of autonomic failure  have revealed that participants with multiple system atrophy (MSA) are characterized by impairment of central autonomic pathways crucial for","Hypotension, Orthostatic","Prospective Longitudinal Cohort","Not Provided","Not Applicable","Not Provided","3 phenotype datasets, 878 variables, 22 documents, 50 subjects","","NCATS","GRU-IRB-PUB --- General research use (irb, pub)","2018-07-12","2018-07-12","HYPOTENSION, ORTHOSTATIC; Hypotension, Postural; Orthostatic Hypotension; Postural Hypotension; Atrophies, Multisystem; Atrophies, Multisystemic"
"phs001672.v1.p1","VA Million Veteran Program (MVP)","MVP is an ongoing prospective cohort study and mega-biobank in the Department of Veterans Affairs Healthcare System designed to study genetic influences on health and disease among veterans.","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Not Applicable","Not Provided","4 analyses","","NHLBI","HMB-MDS --- Health/medical/biomedical (mds)","2018-11-01","2018-11-01","BARD1-Related Susceptibility to Breast Cancer; Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors"
"phs001712.v1.p1","VCRC One-Time DNA Study","The purpose of this study is to identify genes that increase the risk of developing vasculitis, a group of severe diseases that feature inflammation of blood vessels. Better methods  are needed to recruit patients with these rare diseases into cohorts of adequate size for high-quality genetics studies, and the existing","Vasculitis","Case-Control","Not Provided","Not Applicable","Not Provided","12 phenotype datasets, 2586 variables, 7 documents, 152 subjects","","NCATS","GRU-IRB-PUB --- General research use (irb, pub)","2019-02-11","2019-02-11","Allergic Angiitides; Allergic Angiitides, Granulomatous; Allergic Angiitis; Allergic Angiitis and Granulomatosis; Allergic Angiitis, Granulomatous; Allergic Granulomatoses"
"phs000090.v5.p1","GENEVA: The Atherosclerosis Risk in Communities (ARIC) Study","This sub-study phs000090 GENEVA ARIC contains genotype data and selected phenotype of subjects available from the phs000090 study. Summary level phenotypes for the NHLBI ARIC Cohort study participants can  be viewed at the top-level study page phs000280 ARIC Cohort. Individual level phenotype data and molecular data for all ARIC Cohort top-level study","Cardiovascular Diseases","Case-Control","Not Provided","Atherosclerosis Risk in Communities (ARIC) Cohort (phs000280.v5.p1)","SNP Genotypes (Array), SNP Genotypes (imputed), SNP Genotypes (Array), SNP Genotypes (imputed)","2 phenotype datasets, 366 variables, 166 documents, 3 molecular datasets,  SRA, 12771 subjects, 13249 samples","European (9590), African (112), East Asian (1), African American (3003), Hispanic1 (34), Hispanic2 (20), Other Asian or Pacific Islander (1), South Asian (2), Other (8)","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , DS-CVD-IRB --- Disease-specific (cardiovascular disease, irb)","2013-12-11","2017-09-22","Atherogenesis; Body System, Cardiovascular; Cardiovascular; Cardiovascular Body System; Cardiovascular Organ System; Cardiovascular System"
"phs000223.v5.p1","PAGE: CALiCo: Atherosclerosis Risk in Communities (ARIC)","This sub-study phs000223 PAGE CALiCo ARIC contains genotype data and selected phenotype of subjects available from the phs000223. Summary level phenotypes for the NHLBI ARIC Cohort study participants can  be viewed at the top-level study page phs000280 ARIC Cohort. Individual level phenotype data and molecular data for all ARIC Cohort top-level study","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Atherosclerosis Risk in Communities (ARIC) Cohort (phs000280.v5.p1)","SNP Genotypes (Array), SNP Genotypes (Array)","2 phenotype datasets, 6 variables, 4 analyses, 1 molecular datasets, 3743 subjects, 3425 samples","","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , DS-CVD-IRB --- Disease-specific (cardiovascular disease, irb)","2013-12-11","2017-09-22","C Reactive Protein; C-Reactive Protein; CRP - C-reactive protein; Protein, C-Reactive; Proteins, specific or class, C-reactive; Cholesterol, HDL2"
"phs000226.v6.p1","STAMPEED: Cardiovascular Health Study (CHS)","Note: This substudy phs000226 STAMPEED Cardiovascular Health Study contains GWAS data of the subset of the CHS cohort selected for the NHLBI's SNP Typing for Association with Multiple Phenotypes  from Existing Epidemiologic Data (STAMPEED) project. Summary level phenotypes for the Cardiovascular Health Study Cohort study participants can be","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older (phs000287.v6.p1)","SNP Genotypes (Array), SNP Genotypes (Array)","2 phenotype datasets, 5 variables, 2 documents, 6 analyses, 2 molecular datasets, 4211 subjects, 4792 samples","European (3345), African (48), East Asian (2), African American (763), Hispanic1 (26), Hispanic2 (19), Other (7)","NHLBI","HMB-IRB-MDS --- Disease-specific (cardiovascular disease, npu, mds) , HMB-IRB-NPU-MDS --- Disease-specific (cardiovascular disease, npu, mds) , DS-CVD-IRB-MDS --- Disease-specific (cardiovascular disease, npu, mds) , DS-CVD-IRB-NPU-MDS --- Disease-specific (cardiovascular disease, npu, mds)","2017-01-13","2018-01-13","Aging, Biological; Biological Aging; Brain Vascular Disorder; Brain Vascular Disorders; CVD - Cerebrovascular disease; Cerebrovascular Disease"
"phs000236.v2.p2","PAGE: CALiCo: Coronary Artery Risk Development in Young Adults(CARDIA)","This sub-study phs000236 PAGE CALiCo CARDIA contains genotype derived from sequence data and selected phenotype of subjects available from the phs000236 study. Summary level phenotypes for the NHLBI CARDIA  Cohort study participants can be viewed at the top-level study page phs000285 CARDIA Cohort. Individual level phenotype data and molecular data for","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Coronary Artery Risk Development in Young Adults (CARDIA) Study - Cohort (phs000285.v3.p2)","SNP Genotypes (PCR)","1 phenotype datasets, 3 variables, 83 documents, 4 analyses, 1 molecular datasets, 3595 subjects, 3595 samples","","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , HMB-IRB-NPU --- Health/medical/biomedical (irb, npu)","2013-08-22","2014-08-22","C Reactive Protein; C-Reactive Protein; CRP - C-reactive protein; Protein, C-Reactive; Proteins, specific or class, C-reactive; Cholesterol, HDL2"
"phs000282.v19.p11","NHLBI Framingham Candidate Gene Association Resource (CARe)","This substudy phs000282 Framingham CARe contains 50K genotypes from 2,100 candidate genes across a range of cardiovascular, metabolic, and inflammatory syndromes, produced as part of NHLBI's Candidate Gene Association  Resource (CARe) project. Summary level phenotypes for the Framingham Cohort study participants can be viewed at the top-level study page phs000007","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Framingham Cohort (phs000007.v30.p11)","SNP Genotypes (Array)","1 molecular datasets, 8556 samples","","NHLBI","HMB-IRB-MDS --- Health/medical/biomedical (irb, mds) , HMB-IRB-NPU-MDS --- Health/medical/biomedical (irb, npu, mds)","2018-10-12","2018-10-12","Body System, Cardiovascular; Cardiovascular; Cardiovascular Body System; Cardiovascular Organ System; Cardiovascular System; Cardiovascular Systems"
"phs000283.v7.p3","NHLBI MESA Candidate Gene Association Resource (CARe)","This substudy phs000283 MESA CARe contains 50k genotypes from 2,100 candidate genes across a range of cardiovascular, metabolic, and inflammatory syndromes, produced as part of NHLBI's Candidate Gene Association  Resource (CARe) project. Summary level phenotypes for the MESA Cohort study participants can be viewed at the top-level study page phs000209 MESA","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Multi-Ethnic Study of Atherosclerosis (MESA) Cohort (phs000209.v13.p3)","SNP Genotypes (Array)","1 phenotype datasets, 4 variables, 1 molecular datasets, 6354 subjects, 6420 samples","","NHLBI","HMB --- Health/medical/biomedical , HMB-NPU --- Health/medical/biomedical (npu)","2014-11-18","2015-11-18","Atherogenesis"
"phs000301.v5.p1","PAGE: CALiCo: Cardiovascular Health Study (CHS)","Note: This substudy phs000301 PAGE Cardiovascular Health Study contains genotypes on selected SNP loci of the subset of the CHS cohort selected for the NHGRI's Population Architecture using Genomics  and Epidemiology (PAGE) project. Summary level phenotypes for the Cardiovascular Health Study Cohort study participants can be viewed at the top","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older (phs000287.v6.p1)","SNP Genotypes (Array), SNP Genotypes (PCR)","2 phenotype datasets, 8 variables, 4 analyses, 2 molecular datasets, 5346 subjects, 5346 samples","","NHLBI","HMB-IRB-MDS --- Disease-specific (cardiovascular disease, npu, mds) , HMB-IRB-NPU-MDS --- Disease-specific (cardiovascular disease, npu, mds) , DS-CVD-IRB-MDS --- Disease-specific (cardiovascular disease, npu, mds) , DS-CVD-IRB-NPU-MDS --- Disease-specific (cardiovascular disease, npu, mds)","2017-01-13","2018-01-13","AP - Angina pectoris; Angina; Anginal syndrome; Angor Pectoris; Cardiac angina; Ischemic heart disease - angina"
"phs000307.v15.p11","NHLBI Framingham Heart Study Allelic Spectrum Project","This substudy phs000307 Framingham Allelic Spectrum Project includes the generation of deep coverage targeted re-sequencing and variant identification for 216 genes in the Framingham Heart Study (FHS) sample collection,  produced as part of NHLBI's Medical Resequencing projects. Summary level phenotypes for the Framingham Cohort study participants can be viewed at the","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Framingham Cohort (phs000007.v30.p11)","SNP/CNV Genotypes (NGS), WXS","1 phenotype datasets, 4 variables, 1 molecular datasets,  SRA, 1634 subjects, 1634 samples","","NHLBI","HMB-IRB-MDS --- Health/medical/biomedical (irb, mds) , HMB-IRB-NPU-MDS --- Health/medical/biomedical (irb, npu, mds)","2018-10-12","2018-10-12",""
"phs000309.v3.p2","The CARDIA-GENEVA Study","This sub-study phs000309 GENEVA CARDIA contains genotype and selected phenotype of subjects available from the phs000309 study. Summary level phenotypes for the NHLBI CARDIA Cohort study participants can be  viewed at the top-level study page phs000285 CARDIA Cohort. Individual level phenotype data and molecular data for all CARDIA Cohort top-level study","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Coronary Artery Risk Development in Young Adults (CARDIA) Study - Cohort (phs000285.v3.p2)","SNP Genotypes (Array), SNP Genotypes (imputed), SNP Genotypes (Array), SNP Genotypes (imputed)","2 phenotype datasets, 155 variables, 59 documents, 2 molecular datasets, 1926 subjects, 4991 samples","European (1644), East Asian (1), African American (1), Hispanic1 (5), Hispanic2 (12), Other Asian or Pacific Islander (7), Other (5)","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , HMB-IRB-NPU --- Health/medical/biomedical (irb, npu)","2013-08-22","2014-08-22","Atherogenesis; Caloric Intake; Energy intake; Arterial hypertension; BP - High blood pressure; BP+ - Hypertension"
"phs000315.v7.p3","WHI GARNET","This substudy phs000315 WHI GARNET contains genotypes generated using Illumina array, produced as part of NHGRI's GARNET project. Summary level phenotypes for the WHI Cohort study participants can be  viewed at the top-level study page phs000200 WHI Cohort. Individual level phenotype data and molecular data for all WHI top-level study and","Cardiovascular Diseases","Case-Control","Not Provided","Women&#39;s Health Initiative Clinical Trial and Observational Study (phs000200.v11.p3)","SNP Genotypes (Array)","1 phenotype datasets, 5 variables, 1 molecular datasets, 4983 samples","European (4338), African (13), East Asian (64), African American (273), Hispanic1 (45), Hispanic2 (105), Other Asian or Pacific Islander (36), Other (20)","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , HMB-IRB-NPU --- Health/medical/biomedical (irb, npu)","2017-06-23","2017-11-02","Adult-Onset Diabetes; Adult-Onset Diabetes Mellitus; DIABETES MELLITUS, TYPE 2; DIABETES MELLITUS, TYPE 2, PROTECTION AGAINST; DIABETES MELLITUS, TYPE II; DIABETES MELLITUS, TYPE II, SUSCEPTIBILITY TO"
"phs000342.v18.p11","NHLBI Framingham SNP Health Association Resource (SHARe)","This substudy phs000342 Framingham SHARe contains 100K and 550K genotypes, produced as part of NHLBI's SNP Health Association Resource (SHARe) project. It also contains 4.3 million genotypes produced under  Illumina's Fast Track Genotyping Service. Summary level phenotypes for the Framingham Cohort study participants can be viewed at the top-level study","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Framingham Cohort (phs000007.v30.p11)","SNP Genotypes (Array), SNP Genotypes (imputed), Legacy Genotypes, SNP Genotypes (PCR)","2 phenotype datasets, 8 variables, 2812 analyses, 11 molecular datasets, 10315 subjects, 31682 samples","European (4616), African (3), East Asian (105), African American (269), Hispanic1 (134), Hispanic2 (158), Other Asian or Pacific Islander (22), South Asian (84), Other (62)","NHLBI","HMB-IRB-MDS --- Health/medical/biomedical (irb, mds) , HMB-IRB-NPU-MDS --- Health/medical/biomedical (irb, npu, mds)","2018-10-12","2018-10-12","Body System, Cardiovascular; Cardiovascular; Cardiovascular Body System; Cardiovascular Organ System; Cardiovascular System; Cardiovascular Systems"
"phs000363.v17.p11","NHLBI Framingham SABRe CVD","This substudy phs000363 Framingham SABRe contains immunoassays, gene expression profiling, and microRNA data. Summary level phenotypes for the Framingham Cohort study participants can be viewed at the top-level study  page phs000007 Framingham Cohort. Individual level phenotype data and molecular data for all Framingham top-level study and substudies are available","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Framingham Cohort (phs000007.v30.p11)","miRNA Expression (Array), mRNA Expression (Array)","21 phenotype datasets, 1404 variables, 73 documents, 2 molecular datasets, 7558 subjects, 11329 samples","","NHLBI","HMB-IRB-MDS --- Health/medical/biomedical (irb, mds) , HMB-IRB-NPU-MDS --- Health/medical/biomedical (irb, npu, mds)","2018-10-12","2018-10-12","Body System, Cardiovascular; Cardiovascular; Cardiovascular Body System; Cardiovascular Organ System; Cardiovascular System; Cardiovascular Systems"
"phs000377.v5.p1","NHLBI Cardiovascular Health Study (CHS) Candidate Gene Association    Resource (CARe)","Note: This substudy phs000377 CARe Cardiovascular Health Study contains 50K genotypes from 2,100 candidate genes produced as part of NHLBI's Candidate-Gene Association Resource (CARe) project. Summary level phenotypes for  the Cardiovascular Health Study Cohort study participants can be viewed at the top-level study page phs000287 Cardiovascular Health Study (CHS","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older (phs000287.v6.p1)","SNP Genotypes (Array)","2 phenotype datasets, 7 variables, 1 molecular datasets, 5279 subjects, 5282 samples","","NHLBI","HMB-IRB-MDS --- Disease-specific (cardiovascular disease, npu, mds) , HMB-IRB-NPU-MDS --- Disease-specific (cardiovascular disease, npu, mds) , DS-CVD-IRB-MDS --- Disease-specific (cardiovascular disease, npu, mds) , DS-CVD-IRB-NPU-MDS --- Disease-specific (cardiovascular disease, npu, mds)","2017-01-13","2018-01-13","AP - Angina pectoris; Angina; Anginal syndrome; Angor Pectoris; Cardiac angina; Ischemic heart disease - angina"
"phs000398.v5.p1","NHLBI GO-ESP: Heart Cohorts Exome Sequencing Project (ARIC)","This sub-study phs000398 HeartGO_ARIC contains genotype derived from sequence data and selected phenotype of subjects available from the phs000398 study. Summary level phenotypes for the NHLBI ARIC Cohort study  participants can be viewed at the top-level study page phs000280 ARIC Cohort. Individual level phenotype data and molecular data for all ARIC Cohort","Cardiovascular Diseases","Case-Control","Not Provided","Atherosclerosis Risk in Communities (ARIC) Cohort (phs000280.v5.p1)","SNP Genotypes (NGS), WXS, SNP Genotypes (NGS), WXS","2 phenotype datasets, 127 variables, 3 molecular datasets,  SRA, 843 subjects, 843 samples","","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , DS-CVD-IRB --- Disease-specific (cardiovascular disease, irb)","2013-12-11","2017-09-22","Brain Ischemias; Brain ischemia; Cerebrovascular ischemia; Encephalopathy, Ischemic; Ischemia, Brain; Ischemic Encephalopathies"
"phs000399.v1.p2","NHLBI GO-ESP: Heart Cohorts Exome Sequencing Project (CARDIA)","This sub-study phs000399 GO-ESP HeartGO_CARDIA contains genotype derived from sequence data and selected phenotype of subjects available from the phs000399 study. Summary level phenotypes for the NHLBI CARDIA Cohort  study participants can be viewed at the top-level study page phs000285 CARDIA Cohort. Individual level phenotype data and molecular data for all","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Coronary Artery Risk Development in Young Adults (CARDIA) Study - Cohort (phs000285.v3.p2)","SNP Genotypes (NGS), SNP/CNV Genotypes (NGS), WXS","2 phenotype datasets, 86 variables, 2 molecular datasets,  SRA, 199 subjects, 199 samples","","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , HMB-IRB-NPU --- Health/medical/biomedical (irb, npu)","2013-08-22","2014-08-22","Brain Ischemias; Brain ischemia; Cerebrovascular ischemia; Encephalopathy, Ischemic; Ischemia, Brain; Ischemic Encephalopathies"
"phs000400.v5.p1","NHLBI GO-ESP: Heart Cohorts Exome Sequencing Project (CHS)","Note: This substudy phs000400 GO-ESP Cardiovascular Health Study contains harmonized phenotype data, whole exome sequencing and .vcf data of the subset of the CHS cohort selected for NHLBI's GO-ESP  Exome Sequencing Project. Summary level phenotypes of the Cardiovascular Health Cohort study participants may be viewed at the top-level study page","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older (phs000287.v6.p1)","SNP Genotypes (NGS), WXS","3 phenotype datasets, 123 variables, 3 molecular datasets,  SRA, 210 subjects, 211 samples","","NHLBI","HMB-IRB-MDS --- Disease-specific (cardiovascular disease, npu, mds) , HMB-IRB-NPU-MDS --- Disease-specific (cardiovascular disease, npu, mds) , DS-CVD-IRB-MDS --- Disease-specific (cardiovascular disease, npu, mds) , DS-CVD-IRB-NPU-MDS --- Disease-specific (cardiovascular disease, npu, mds)","2017-01-13","2018-01-13","Brain Ischemias; Brain ischemia; Cerebrovascular ischemia; Encephalopathy, Ischemic; Ischemia, Brain; Ischemic Encephalopathies"
"phs000401.v13.p11","NHLBI GO-ESP: Heart Cohorts Exome Sequencing Project (FHS)","This substudy phs000401 Framingham ESP Heart-GO contains exome sequence data and harmonized phenotype variables, produced as part of NHLBI's GO-ESP project. Summary level phenotypes for the Framingham Cohort study  participants can be viewed at the top-level study page phs000007 Framingham Cohort. Individual level phenotype data and molecular data for all","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Framingham Cohort (phs000007.v30.p11)","SNP Genotypes (NGS), SNP/CNV Genotypes (NGS), WXS","2 phenotype datasets, 110 variables, 2 molecular datasets,  SRA, 462 subjects, 720 samples","","NHLBI","HMB-IRB-MDS --- Health/medical/biomedical (irb, mds) , HMB-IRB-NPU-MDS --- Health/medical/biomedical (irb, npu, mds)","2018-10-12","2018-10-12","Brain Ischemias; Brain ischemia; Cerebrovascular ischemia; Encephalopathy, Ischemic; Ischemia, Brain; Ischemic Encephalopathies"
"phs000402.v3.p1","NHLBI GO-ESP: Heart Cohorts Exome Sequencing Project (JHS)","This sub-study phs000402 HeartGO JHS contains genotype derived from sequence data and selected phenotype of subjects available from the phs000402 study. Summary level phenotypes for the NHLBI JHS Cohort  study participants can be viewed at the top-level study page phs000286 JHS Cohort. Individual level phenotype data and molecular data for all JHS","Cardiovascular Diseases","Case-Control","Not Provided","Jackson Heart Study (JHS) Cohort (phs000286.v5.p1)","SNP Genotypes (NGS), WXS","3 phenotype datasets, 100 variables, 3 molecular datasets,  SRA, 402 subjects, 403 samples","","NHLBI","HMB-IRB-NPU --- Health/medical/biomedical (irb, npu) , DS-FDO-IRB-NPU --- Disease-specific (focused disease only, irb, npu) , HMB-IRB --- Health/medical/biomedical (irb) , DS-FDO-IRB --- Disease-specific (focused disease only, irb)","2016-07-13","2017-07-13","Brain Ischemias; Brain ischemia; Cerebrovascular ischemia; Encephalopathy, Ischemic; Ischemia, Brain; Ischemic Encephalopathies"
"phs000403.v3.p3","NHLBI GO-ESP: Heart Cohorts Exome Sequencing Project (MESA)","The NHLBI ""Grand Opportunity"" Exome Sequencing Project (GO-ESP), a signature project of the NHLBI Recovery Act investment, was designed to identify genetic variants in coding regions (exons) of the  human genome (the ""exome"") that are associated with heart, lung and blood diseases. These and related diseases that are of high impact to public","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Multi-Ethnic Study of Atherosclerosis (MESA) Cohort (phs000209.v13.p3)","SNP Genotypes (NGS), WXS","2 phenotype datasets, 97 variables, 2 molecular datasets,  SRA, 404 subjects, 404 samples","","NHLBI","HMB --- Health/medical/biomedical , HMB-NPU --- Health/medical/biomedical (npu)","2014-11-18","2015-11-18","Brain Ischemias; Brain ischemia; Cerebrovascular ischemia; Encephalopathy, Ischemic; Ischemia, Brain; Ischemic Encephalopathies"
"phs000406.v3.p1","Spatiotemporal Transcriptome of the Human Brain","Comprehensive knowledge about the spatiotemporal dynamics of the brain transcriptome is essential for a better understanding of neurodevelopment, sexual dimorphism, and evolution, as well as our increased susceptibility to  certain brain disorders. We generated and analyzed genome-wide exon-level transcriptome data from 16 brain regions of 57 postmortem human brains","Aging","Control Set","Not Provided","BrainSpan Atlas of the Human Brain (phs000755.v2.p1)","SNP Genotypes (Array)","2 phenotype datasets, 8 variables, 1 molecular datasets, 57 subjects, 57 samples","European (30), African American (15), Hispanic1 (4), Hispanic2 (2), Other Asian or Pacific Islander (2), South Asian (1), Other (3)","NIMH","GRU --- General research use","2019-01-08","2018-05-23","Aging, Biological; Biological Aging"
